id,airdate,episode_number,image_path,name,season,synopsis
159,1996-12-01,159,/episode/159.webp,A Milhouse Divided,8,"After realizing how lazy and slovenly her family has become by dining each night in front of the TV (including Homer complaining about the dishes not being transparent and Bart being in his underwear), Marge decides to throw a dinner party, but it goes pear-shape when Milhouse's parents (Kirk and Luann) get into heated arguments about their lives and Luann announces that she wants a divorce. While Luann sees the split as a chance to reinvent herself and Milhouse doesn't really care one way or the other (though he did think Nelson would bully him over it), Homer worries the same will happen between him and Marge after seeing Kirk's life spiral without his wife."
160,1996-12-15,160,/episode/160.webp,Lisa's Date with Density,8,"After stealing Superintendent Chalmers' car emblem off his new Honda Accord, Nelson is sentenced to janitorial work. While Lisa is serving detention for snickering at Nelson spraying Groundskeeper Willie with a hose, she becomes fascinated with and develops a crush on the bully. Meanwhile, Homer takes an auto dialer that was recently used in a telemarketing scam and creates a telemarketing scam of his own."
161,1996-12-29,161,/episode/161.webp,Hurricane Neddy,8,"A hurricane blows through Springfield and spares the Simpsons, but unfortunately, the Flanders' house is the only one that takes damage, leaving the Flanders family homeless and reeling. Things get worse when everyone in town comes together to rebuild Ned's house (rather poorly) and Ned goes on the mother of all tirades, calling everyone including Homer out for their personality flaws, then commits himself to a mental hospital, where Ned's childhood therapist reveals why he lashed out."
162,1997-01-05,162,/episode/162.webp,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),8,"Marge reluctantly takes Homer to the town's chili cook-off, on the grounds that Homer doesn't drink and make a fool of himself like he did the previous year. This year, however, Chief Wiggum has a secret ingredient to defeat Homer's discerning taste buds during the chili contest: Guatemalan insanity peppers, which cause Homer to lose his mind... and end up on a spirit quest to find his soulmate."
163,1997-01-12,163,/episode/163.webp,The Springfield Files,8,"In this tale narrated by Leonard Nimoy (last seen on season four's ""Marge vs. The Monorail""), Homer sees an alien in the woods, and while everyone else writes it off as a drunken hallucination (since Homer tested ""Boris Yeltsin"" drunk on Moe's Breathalyzer), Agents Mulder and Scully from The X-Files come to Springfield to help Homer solve the case."
164,1997-01-19,164,/episode/164.webp,The Twisted World of Marge Simpson,8,"Marge falls out with the Springfield Investorettes over their risky practices, and she invests in a fledging pretzel franchise out of spite. However, she struggles to stay in business, and Homer resorts to desperate measures to help her."
165,1997-02-02,165,/episode/165.webp,Mountain of Madness,8,"After an extremely disappointing display of teamwork during a fire drill, Mr. Burns forces his workers to participate in a cabin race at a mountain retreat, where the last one to find the cabin will be fired."
166,1997-02-07,166,/episode/166.webp,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,8,"A British nanny known as ""Shari Bobbins"" is hired to shape up the Simpson family after Marge begins losing her hair to stress, only to learn that the lessons she teaches won't stick if she leaves — or stays."
167,1997-02-09,167,/episode/167.webp,The Itchy & Scratchy & Poochie Show,8,"Following a slight fall in the ratings and Lisa telling Roger Meyers, Jr. that The Itchy & Scratchy Show might be getting a little stale, the staff at I&S Studios create a new character, Poochie the dog, and hire Homer to voice him. But when Poochie's premiere episode focuses on him to the exclusion of Itchy and Scratchy's normal violent antics and comes off as annoying and pandering, fans of the show get in an uproar and Homer feels that he's the only one who sees potential in the new character."
168,1997-02-16,168,/episode/168.webp,Homer's Phobia,8,"Homer makes friends with John, a kitschy antiques store dealer and lover of all things camp. However, when Marge tells Homer that John is a homosexual, Homer freaks out and, fearing that his son will emulate John, takes Bart on a misguided journey to make his son heterosexual."
169,1997-02-23,169,/episode/169.webp,Brother from Another Series,8,"Sideshow Bob is released from prison again for good behavior and put into the custody of his brother, Cecil, but Bart and Lisa still think Bob is out to kill them — until they learn that Cecil is just as evil as Bob."
170,1997-03-02,170,/episode/170.webp,"My Sister, My Sitter",8,"Lisa decides to become a babysitter — and finds that her biggest challenge is her own brother, who she has to look after as Homer and Marge check out the new outdoor mall."
171,1997-03-16,171,/episode/171.webp,Homer vs. the Eighteenth Amendment,8,"After Bart gets drunk at the annual St. Patrick's Day parade, Springfield enforces a Prohibition-era law banning all alcohol from being made and sold. As a result, Moe opens a speakeasy, Homer becomes a bootlegger, and a no-nonsense Elliot Ness-style lawman sets out to stop them."
172,1997-04-06,172,/episode/172.webp,Grade School Confidential,8,"When Martin Prince's birthday party bombs due to food poisoning, Principal Skinner and Mrs. Krabappel hide out in the kiddie playhouse and fall for each other. However, Bart sees them making out and promises to keep quiet in exchange for having his permanent record switched with Milhouse's, but how long can the lovebirds keep Bart from singing to others about their affair?"
173,1997-04-13,173,/episode/173.webp,The Canine Mutiny,8,"Bart commits credit card fraud again — this time, by filling out a credit card application under Santa's Little Helper's name and going on a catalogue shopping spree — which leads him to buy a wonder dog named Laddie and send Santa's Little Helper to the Repo Depot when everything he bought on the card gets taken back due to lack of payment."
174,1997-04-20,174,/episode/174.webp,The Old Man and the Lisa,8,"While Lisa champions a recycling program, Mr. Burns discovers that he's lost his fortune (and was never told this before because his accountants are sycophants/afraid of Mr. Burns' wrath) and now must live like a common man. With Lisa's help, Mr. Burns devises a plan to regain his fortune."
175,1997-04-27,175,/episode/175.webp,In Marge We Trust,8,"Marge volunteers at the church and becomes ""The Listen Lady"" who actually helps people with their problems, which doesn't sit well with Reverend Lovejoy. Meanwhile Homer, Lisa, and Bart solve the mystery of why Homer's face is on a dishwashing detergent box from Japan."
176,1997-05-04,176,/episode/176.webp,Homer's Enemy,8,"A new employee comes to hate Homer Simpson for being a lovable idiot who has everything good going for him and sets out to prove that Homer doesn't deserve his lot in life. Meanwhile, Bart buys an abandoned factory at auction and uses it as his own personal playground."
177,1997-05-11,177,/episode/177.webp,The Simpsons Spin-Off Showcase,8,"In this special episode, Troy McClure presents three possible spin-off shows featuring the main and ancillary characters from The Simpsons: In ""Chief Wiggum: P.I.(G)"", Chief Wiggum and Principal Skinner are private detectives in New Orleans, Louisiana, who go after a kingpin named Big Daddy who has kidnapped Wiggum's son, Ralph, ""The Love-Matic Grampa"" sees Moe Szyslak taking dating advice from his Love Tester machine, which is now possessed by Abraham ""Grampa"" Simpson, and The Simpson family (save Lisa) and some secondary characters get their own cheesy late 1960s sketch show called, ""The Simpson Family Smile-Time Variety Hour""."
178,1997-05-18,178,/episode/178.webp,The Secret War of Lisa Simpson,8,Bart is shipped off to military school after a particularly destructive prank (lining up 15 police bullhorns and unleashing a soundwave that shatters all the glass in town) — and Lisa tags along (despite that the military school is boys-only and the other cadets don't take kindly to change) after finding public school education has become a grind.
179,1997-09-21,179,/episode/179.webp,The City of New York vs. Homer Simpson,9,"The Simpsons are going to New York City, after a sober and insane Barney Gumble drives Homer's car to Manhattan and leaves it at the World Trade Center Twin Towers. While Homer has to wait by his car in order to get the boot off, Marge and the kids see the sights."
180,1997-09-28,180,/episode/180.webp,The Principal and the Pauper,9,Principal Skinner's 20th anniversary as school principal is interrupted by a Vietnam vet who reveals that his name is Seymour Skinner and that the man posing as him is a reformed street punk named Armin Tamzarian.
181,1997-10-19,181,/episode/181.webp,Lisa's Sax,9,"After Lisa's saxophone gets crushed in the street, Homer tells the story of how Lisa first discovered her musical talent — which coincides with the tragic tale of how Bart's first day of kindergarten turned him into the troublemaker he is today."
182,1997-10-26,182,/episode/182.webp,Treehouse of Horror VIII,9,
183,1997-11-02,183,/episode/183.webp,The Cartridge Family,9,
184,1997-11-09,184,/episode/184.webp,Bart Star,9,"Peewee football comes to Springfield as a means to fight childhood obesity, and when Homer becomes the coach (after Flanders angrily gives him the position to keep Homer from heckling him), he promotes Bart to star player status despite the boy's lack of talent."
185,1997-11-16,185,/episode/185.webp,The Two Mrs. Nahasapeemapetilons,9,"Apu's days as a swinging bachelor are numbered when he receives a lotus flower in the mail, a symbol that the arranged marriage his mom planned for him when he was a child (as seen on ""Much Apu About Nothing"") is nearing. To get out of it, Apu decides to lie to his mom that he's already married...to Marge Simpson."
186,1997-11-23,186,/episode/186.webp,Lisa the Skeptic,9,"When construction for a new mall threatens an area where a bunch of fossils were found, Lisa manages to convince Principal Skinner to schedule a school archaeological dig to find missing fossils. The field trip seems to have been futile, until Lisa finds a statue of a skeleton man with wings, which everyone in town believes is an angel and brings an apocalyptic message."
187,1997-12-07,187,/episode/187.webp,Realty Bites,9,"Feeling bored with life (once again), Marge takes a job in real estate but is uncomfortable having to bend the truth to make sales, especially when she wants to sell the Flanders a house with a violent history. Meanwhile, Homer buys Snake's car at a police auction and Snake breaks out of jail to get it back."
188,1997-12-21,188,/episode/188.webp,Miracle on Evergreen Terrace,9,"Bart accidentally destroys the family's Christmas presents and blames the disaster on a burglar, resulting in the rest of the town opening its hearts and wallets for them, but when Santa's Little Helper finds the melted wreckage and Bart confesses that he lied, the town shuns and harasses the family."
189,1998-01-04,189,/episode/189.webp,"All Singing, All Dancing",9,"In yet another clip show episode, Homer is appalled that the movie he rented, Paint Your Wagon, is a campy, Western-themed musical and not a gritty, spaghetti Western. Marge and the family try to prove that musicals are part of their life (and the lives of the people of Springfield) through a collection of videos (read: past clips) showing The Simpsons' most memorable songs and musical moments, only to be interrupted by Snake Jailbird, who holds the family hostage."
190,1998-01-11,190,/episode/190.webp,Bart Carny,9,"Bart and Homer are forced to work as carnies after Bart crashes the Mercedes convertible said to belong to Adolf Hitler, and befriend a father-son carny duo named Spud and Cooder, but when Homer brings Spud and Cooder to their home, it's the Simpsons that end up getting kicked out."
191,1998-02-08,191,/episode/191.webp,The Joy of Sect,9,"Homer and the rest of the town (save Marge, Reverend Lovejoy, the Flanders family, Mr. Burns, Smithers, Lenny, Cletus, Groundskeeper Willie, and the nameless crowd that showed up for Mr. Burns' cult event) are brainwashed into joining a cult known as the Movementarians. Meanwhile, Mr. Burns tries to start his own cult...with disastrous results."
192,1998-02-15,192,/episode/192.webp,Das Bus,9,"Springfield Elementary's Model U.N. participants (including Bart and Lisa) wind up stranded on an island when their bus goes off a bridge. Meanwhile, Homer tries to start an Internet company — even though he has no business plan, no computer, and no knowledge of the Internet."
193,1998-02-22,193,/episode/193.webp,The Last Temptation of Krust,9,"At a charity comedy show, Krusty discovers that his brand of humor is out of step with modern stand-up comedy. After announcing his retirement and going on a drunken bender, Krusty wakes up at the Simpsons household and, with the help of Bart Simpson and special guest star, Jay Leno, Krusty becomes an anti-establishment stand-up comic (a la George Carlin, Denis Leary, Dennis Miller, and Bill Hicks), but must choose between his ethics and selling out when an agent offers him the chance to be the spokesman for a new SUV."
194,1998-03-01,194,/episode/194.webp,Dumbbell Indemnity,9,"Moe falls for a flower vendor named Renee, and commits insurance fraud (with help from Homer) so he can keep the money and the romance coming. But when Homer gets arrested, Moe let’s him take the fall."
195,1998-03-08,195,/episode/195.webp,Lisa the Simpson,9,"After failing to immediately figure out a picture puzzle, forgetting her locker combination, and turning in a piss-poor school project, Lisa fears she's losing her brainpower, and things get worse when Grampa Simpson tells Lisa that she may have the Simpson Gene, which has already made Homer, Bart, and Grampa himself dumber with age. Meanwhile, Jasper Beardley uses the Kwik-E-Mart freezers to cryogenically preserve himself, and Apu deals with the situation the only way he knows how: by making a profit off it."
196,1998-03-22,196,/episode/196.webp,This Little Wiggy,9,"While on a day trip to a hands-on science museum, Marge feels sorry for Ralph Wiggum being bullied and suggests to Chief Wiggum that Ralph and Bart be play buddies, which Bart objects to — until he realizes that Ralph is the son of an incompetent police chief and has police equipment at his disposal (including a master key that opens up every lock in town, including one to an abandoned prison's electric chair)."
197,1998-03-29,197,/episode/197.webp,Simpson Tide,9,"Homer joins the Naval Reserve after getting fired again, with world-threatening results when he shoots his commanding officer out of the submarine and steers the sub into Russian waters. Meanwhile, Bart gets his ear pierced so he can be cool, but soon discovers that it doesn't work if every kid in school does the same thing."
198,1998-04-05,198,/episode/198.webp,The Trouble with Trillions,9,"Homer (like practically every Springfieldianite who isn't a Flanders) waits until the last minute to file his tax return, and the IRS has jail time in store for Homer — unless Homer plays spy to retrieve a trillion-dollar bill that Mr. Burns was supposed to deliver to post-World War II Europe to pay for reconstruction and stimulate the economy."
199,1998-04-19,199,/episode/199.webp,Girly Edition,9,"Because of the FCC's push for more educational programming for children, Krusty is forced to cut ten minutes (out of three hours) from his show for a kids' news program. Lisa is hired as the head anchor, but it's Bart who becomes famous when his over-the-top sports news segment gets him the co-anchor seat, and he uses his new position to report sappy human interest stories instead of news stories that matter. Meanwhile, Homer adopts a helper monkey named Mojo after seeing a wheelchair-bound Apu use one, but Homer ends up turning the monkey into a slob."
200,1998-04-26,200,/episode/200.webp,Trash of the Titans,9,"Homer's antics gets the family's garbage collection cut off, and Marge writes an apology to the garbagemen on Homer's behalf. Incensed that Marge would do something like this, Homer takes on sanitation commissioner Ray Patterson in an upcoming election and wins his seat with a campaign that promises more than it can deliver."
201,1998-05-03,201,/episode/201.webp,King of the Hill,9,"After embarrassing Bart during a game of Capture the Flag at a church picnic, Homer decides to get in shape (despite everyone else saying that Homer can't commit to a diet and exercise regimen), and his newly-sculpted muscles from an energy bar and exercise makes him the perfect candidate for a publicity stunt, in which he climbs the tallest mountain in Springfield, The Murderhorn."
202,1998-05-10,202,/episode/202.webp,Lost Our Lisa,9,"When Marge has to back out of taking Lisa to an ancient Egyptian exhibit at the museum so she can take Bart to Dr. Hibbert's office, Lisa tricks Homer into letting her ride the bus, but she boards the wrong one and must find her way home through a series of unfamiliar neighborhoods."
203,1998-05-17,203,/episode/203.webp,Natural Born Kissers,9,"Once again, Marge and Homer worry that their sex life has gone stale, but after an impromptu trip inside a barn and a day at a bed and breakfast, they discover that the only way to keep the spice in their marriage is to have sex in public. Meanwhile, Bart and Lisa play around with Grampa Simpson's old metal detector from his Army days and uncover a film reel carrying the lost ending to the 1942 romantic drama, Casablanca."
204,1998-08-23,204,/episode/204.webp,Lard of the Dance,10,"On the first day back to school from summer break, Lisa meets a girl her age who acts twice her age and wants Lisa and her friends to do the same. Meanwhile, Homer recruits Bart to help him make money off recycling grease."
205,1998-09-20,205,/episode/205.webp,The Wizard of Evergreen Terrace,10,Homer becomes an inventor after realizing his life is almost half over and he hasn't done anything that will be considered a legacy.
206,1998-09-27,206,/episode/206.webp,Bart the Mother,10,"Bart shoots down a mother bird with the rifle that Nelson won at a family fun center. When Marge finds out, she becomes so mad that she (once again) neglects her son out of shame. In repentance, Bart decides to take care of the eggs in its nest — until he and the rest of the family discover that the abandoned baby birds are actually reptilian pests who feed off birds."
207,1998-10-25,207,/episode/207.webp,Treehouse of Horror IX,10,Opening - A Halloween-themed opening sequence where the family arriving home takes a deadly turn.
208,1998-11-08,208,/episode/208.webp,When You Dish Upon a Star,10,"On a day trip at the lake, Homer winds up at the vacation home of Kim Basinger and Alec Baldwin, and they let him be their assistant if he keeps their location a secret."
209,1998-11-15,209,/episode/209.webp,D'oh-in' in the Wind,10,"After starring in an instructional video for the nuclear plant, Homer discovers while filling out his Screen Actors' Guild form that he doesn't know what the ""J"" in his middle name means, so Homer goes to a hippie commune (headed by two hippies turned businessmen named Seth and Munchie), finds his answer on a mural his mom painted — and decides to be as free and wild as the hippies of the 1960s were."
210,1998-11-22,210,/episode/210.webp,"Lisa Gets an ""A""",10,"Lisa's A+++ grade she got on a test for the book The Wind in the Willows gives Springfield Elementary the grant money it sorely needs to update the school. The problem: Lisa cheated on the exam after spending her sick days from school playing video games instead of studying. Meanwhile, Homer raises a lobster to eat, but makes it his pet."
211,1998-12-06,211,/episode/211.webp,"Homer Simpson in: ""Kidney Trouble""",10,"While driving home from an Old West tourist trap, Homer ignores Grampa Simpson's pleas to let him use the bathroom, which causes the old man to blow out both of his kidneys. With Grampa at death's door, Homer decides to give a kidney to his father — then runs off when he becomes afraid of what being an organ donor will do for him."
212,1998-12-20,212,/episode/212.webp,Mayored to the Mob,10,"After Homer saves Mark Hamill and Mayor Quimby from a nerd riot at the Bi-Mon-Sci-Fi-Con, Mayor Quimby fires his usual bodyguards (who didn't save him because they were outside cloud-gazing) and makes Homer his new protector, but when Homer finds out that Mayor Quimby has mob ties and uncovers a plan to sell rat's milk to the public schools, Homer begins fearing for his life — and the Mayor's."
213,1999-01-10,213,/episode/213.webp,Viva Ned Flanders,10,
214,1999-01-17,214,/episode/214.webp,Wild Barts Can't Be Broken,10,"Chief Wiggum enforces a curfew on the town's children after blaming them for vandalizing the school (when, in fact, it was the fault of Homer and his drunken buddies, Lenny, Carl, and Barney, celebrating the Springfield Isotopes' first win in years), and the kids rebel by hosting a pirate radio show about the adults' embarrassing secrets."
215,1999-01-31,215,/episode/215.webp,"Sunday, Cruddy Sunday",10,"Homer, his buddies, and Bart head out to see the Super Bowl while Marge and Lisa paint eggs with an old kit endorsed by Vincent Price."
216,1999-02-07,216,/episode/216.webp,Homer to the Max,10,"When a dashing officer named Homer Simpson becomes a bumbling sidekick on a new cop show, Homer petitions the court to have his name legally changed and takes advantage of the good life that comes with having a new name — until he gets roped into an environmental protest."
217,1999-02-14,217,/episode/217.webp,I'm with Cupid,10,"After being caught in a lie regarding American labor hours, Apu showers Manjula with extremely lavish gifts in the days leading up to Valentine's Day, which earns him the ire of the Springfield husbands."
218,1999-02-21,218,/episode/218.webp,"Marge Simpson in: ""Screaming Yellow Honkers""",10,"Marge becomes the proud driver of an SUV made for women (after Homer buys it, thinking that it's for men), and develops road rage, which gets her in trouble with the law."
219,1999-02-28,219,/episode/219.webp,Make Room for Lisa,10,"Homer is forced to convert Lisa's room into a cellular phone tower to pay off damages done to the Bill of Rights at the local Smithsonian, and she hates him as a result. They try to reconcile with each other by trying sensory deprivation tanks, where Lisa sees what it's like to be Homer taking Lisa to an activity that he doesn't like just to make Lisa happy. Meanwhile, Marge gets addicted to eavesdropping after Maggie's baby monitor begins picking up cell phone calls."
220,1999-03-28,220,/episode/220.webp,Maximum Homerdrive,10,"When a steak-eating contest between Homer and a beloved trucker proves fatal for the latter, Homer (accompanied by Bart) decides to complete his final run for him, and discover a shady industry secret about truckers. Meanwhile, Lisa and Marge buy a new doorbell, but can't get anyone to ring it."
221,1999-04-04,221,/episode/221.webp,Simpsons Bible Stories,10,"During an Easter Vigil, Reverend Lovejoy finds a chocolate bunny in the collection plate. Since no one in the congregation confesses to doing it (though it's shown that Homer did so), he punishes them with a thorough reading of the entire Bible, prompting four Simpsonized takes on popular Biblical tales: Homer and Marge are Adam and Eve (with Flanders as God and Snake as [what else?] the snake that tempts Eve into partaking of the forbidden fruit), Milhouse as Moses leading Egyptian slave children to the Promised Land, Homer as King Solomon presiding over a dispute over a pie, and Bart as David out to defeat Goliath Nelson."
222,1999-04-11,222,/episode/222.webp,Mom and Pop Art,10,Homer's failed attempt at building an outdoor barbecue leads him into the world of outsider art.
223,1999-04-25,223,/episode/223.webp,"The Old Man and the ""C"" Student",10,"Bart's offensive stand-up act for the International Olympic Committee costs Springfield the Games, and he is forced to work at the Springfield Retirement Home as punishment. Meanwhile, Homer tries to make use of the box of spring mascots he ordered that are now useless."
224,1999-05-02,224,/episode/224.webp,Monty Can't Buy Me Love,10,"When the town becomes enamored with a Richard Branson-style millionaire who goes on crazy adventures and loves everyone, Mr. Burns realizes no one in Springfield likes, much less loves, him (save for Smithers, but Mr. Burns doesn't know or even care that his assistant has a crush on him) and enlists Homer's help in changing that — which leads them to Scotland to find the Loch Ness Monster."
225,1999-05-09,225,/episode/225.webp,They Saved Lisa's Brain,10,"After a riot breaks out at a local gross-out contest, Lisa writes an open letter to the town about the people's lack of intellectualism, which captures the attention of the local MENSA chapter, who end up running the town after Mayor Quimby flees Springfield, thinking MENSA is after him for a lottery winning scandal. Meanwhile, Homer steals runner-up prize from the gross-out contest: a boudoir photography session, which he tries to keep it hidden as the photographer tries to make a sex symbol out of a fat, ugly, balding man."
226,1999-05-16,226,/episode/226.webp,Thirty Minutes Over Tokyo,10,"After being robbed of their savings by Snake at an Internet café, the Simpsons start scrounging for money for their family vacation. They soon learn they can get cheap plane tickets by booking last-minute flights to an unknown location. The flight they get onto flies to Tokyo, Japan, where the Simpsons take in Asian culture — and must compete on a game show in order to fly home."
227,1999-09-26,227,/episode/227.webp,Beyond Blunderdome,11,"The Simpsons are going to Hollywood when Homer complains about Mel Gibson's remake of Mr. Smith Goes to Washington and Gibson teams up with him to improve it, as he's the only person during the Springfield test screening to be honest with him."
228,1999-10-03,228,/episode/228.webp,Brother's Little Helper,11,"Bart is diagnosed with ADD after his latest prank during a ""Fire Prevention Day"" assembly at school, but his new medication makes him paranoid over Major League Baseball spying on him."
229,1999-10-24,229,/episode/229.webp,Guess Who's Coming to Criticize Dinner?,11,"Homer becomes a food critic for the local newspaper following the retirement of the old one. But after showering every meal with praise, his fellow critics peer pressure him into becoming caustic in his reviews, which quickly causes the local restauranteurs to plot his murder."
230,1999-10-31,230,/episode/230.webp,Treehouse of Horror X,11,"Celebrate ten years of macabre, yet hilarious stories with these tales of terror:"
231,1999-11-07,231,/episode/231.webp,E-I-E-I-D'oh,11,"Forced to skip town to get out of a duel, Homer moves back to the farmland he lived on as a kid and tries his hand at growing crops, all of which fail except for a tomato/tobacco hybrid plant that makes addicts of anyone who eats it."
232,1999-11-14,232,/episode/232.webp,"Hello Gutter, Hello Fadder",11,"Homer becomes a local celebrity for bowling a 300 game, but, soon, everyone tires of how overexposed he is and becomes yesterday's news. Despondent, Homer attempts suicide, but, after getting rescued by Otto the bus driver and seeing Ron Howard with his children, Homer decides to be a better father and lavishes attention on Maggie ""The Forgotten"" Simpson."
233,1999-11-21,233,/episode/233.webp,Eight Misbehavin',11,"Apu and Manjula become the parents of octuplets (they were trying for one baby, but Manjula was given an excess of fertility pills by Dr. Hibbert and The Simpsons). But when the initial media frenzy blows over after a mom from Shelbyville has nontuplets (nine children at once), their only hope for financial aid is allowing the kids to become a zoo attraction."
234,1999-11-28,234,/episode/234.webp,"Take My Wife, Sleaze",11,Homer wins a vintage motorcycle in a dance competition at a '50s nostalgia diner and creates a biker gang called the Hell's Satans — until a real biker gang with the same name crashes at the Simpson house.
235,1999-12-19,235,/episode/235.webp,Grift of the Magi,11,"Springfield Elementary blows its already-small budget on ramps to accommodate the wheelchair-bound Bart (who broke his coccyx while jumping on Homer's bed in drag), but the school ends up bankrupt and shut down after Bart is cured and after Principal Skinner discovers that the construction workers are mob-connected...and a toy company buys out the school and turns it into a focus group to create the next ""must-have"" Christmas gift."
236,2000-01-09,236,/episode/236.webp,Little Big Mom,11,"The Simpsons are forced to go to a ski resort to make use of the skis they bought, but never used. While Homer gets hit in the groin by moguls after being distracted by the mental image of Flanders' butt in a skintight ski suit and Lisa nearly gets attacked by deer, Marge ends up the one being injured when a cuckoo clock falls on her leg. While Marge is laid up in the hospital, Lisa steps in as her replacement — and realizes that it's a lot of work in cleaning up after the slovenly Homer and Bart."
237,2000-01-16,237,/episode/237.webp,Faith Off,11,"Bart becomes a faith healer after removing a glued-on bucket from Homer's head at a church revival. Meanwhile, Homer builds a homecoming float from his alma mater."
238,2000-01-23,238,/episode/238.webp,The Mansion Family,11,"After receiving an award for oldest citizen of Springfield, Mr. Burns checks into the Mayo Clinic, leaving The Simpsons in charge of his luxurious mansion, and Homer uses Mr. Burns' mansion and wealth to hold a booze cruise for his buddies."
239,2000-02-06,239,/episode/239.webp,Saddlesore Galactica,11,"Homer and Bart rescue a horse from a cruel sideshow attraction and train it to be a badass on the racetrack, which irks a secret society of jockey elves. Meanwhile, Lisa files a complaint to President Bill Clinton over an unfair judgment at the state fair's Battle of the Bands."
240,2000-02-13,240,/episode/240.webp,"Alone Again, Natura-Diddily",11,"While enjoying a day at the races, Homer's shirtless antics inadvertently cause the death of Maude Flanders, and Ned's faith begins to falter when Homer bungles his way to helping his depressed neighbor."
241,2000-02-20,241,/episode/241.webp,Missionary: Impossible,11,"Homer runs off to a South Pacific island to escape the wrath of PBS after promising them $10,000 during one of their pledge drives."
242,2000-02-27,242,/episode/242.webp,Pygmoelian,11,"Realizing that he's ugly after his face gets censored on the new Duff calendar, Moe gets plastic surgery and gets back at everyone who thought he was too ugly — which lands him a role on Springfield's most popular soap opera, It Never Ends. Meanwhile, Bart and Lisa chase after Maggie's runaway pink elephant balloon."
243,2000-03-19,243,/episode/243.webp,Bart to the Future,11,"The Simpsons visit an Indian casino after their camping trip to Larval Lake gets canceled due to an insect infestation (that has eaten the comment book and stolen the park ranger's class ring — followed by the skin, fat, and muscle off his hand), where Bart gets a vision of his future as a DeVry Institute dropout looking to hit the big time as a musician, while Lisa is the first female President of the United States, trying to get the country back on track after Donald Trump's disastrous stint as President**."
244,2000-04-09,244,/episode/244.webp,Days of Wine and D'oh'ses,11,"After seeing how much of a drunken loser he is on his birthday party video, Barney decides to give up drinking, much to the shock of Moe and Homer. Meanwhile, Lisa and Bart search for the perfect photo for a phone book contest."
245,2000-04-30,245,/episode/245.webp,Kill the Alligator and Run,11,"The Simpsons are going on spring break in Florida to hopefully cure Homer of his insomnia-induced insanity and fear of dying caused by answering a magazine quiz...but find themselves on the run from the law for running down the town's mascot, Captain Jack."
246,2000-05-07,246,/episode/246.webp,Last Tap Dance in Springfield,11,"After seeing a film about a shy, bookish, Spanish girl who becomes a tango dancer's partner in a contest, Lisa begs Marge to let her take tango lessons, but ends up taking tap lessons from a former 1930s child star modeled after Shirley Temple and tries to hide the fact that she's terrible at tap from Homer and Marge. Meanwhile, Homer gets laser eye surgery and Bart and Milhouse hide out at the mall after Nelson announces that he's going to summer camp with them."
247,2000-05-14,247,/episode/247.webp,"It's a Mad, Mad, Mad, Mad Marge",11,"Otto breaks up with his fiancée Becky at the altar, leaving her to stay at the Simpson's house, where Marge fears Becky will replace her as a better wife and mother. Meanwhile, Principal Skinner assigns Bart's class into making a video (so long as it's not a parody or rip-off of The Blair Witch Project), which the school was able to afford by cutting geography lessons from their budget."
248,2000-05-21,248,/episode/248.webp,Behind the Laughter,11,"In a parody of VH1's Behind the Music (and other cable documentary shows, like E! True Hollywood Story, that chronicle the rise and fall of celebrities and casts of famed TV shows), The Simpsons are depicted as a real-life family who created a sitcom about their lives that becomes popular -- and with fame, comes drug addictions, behind-the-scenes feuds, tell-all book scandals, ego trips, poor investments, and run-ins with the law that are contributing to the show's decline in quality and jeopardizing its future."
249,2000-11-01,249,/episode/249.webp,Treehouse of Horror XI,12,This year's terrifying stories include:
250,2000-11-05,250,/episode/250.webp,A Tale of Two Springfields,12,"When the Springfield Phone Company introduces a second area code, Homer, angry over being forced to remember three new digits, notices that the people who still have the original area code are all part of the affluent part of the town, and rallies every citizen who were given the new code into dividing the city."
251,2000-11-12,251,/episode/251.webp,Insane Clown Poppy,12,"The Simpsons visit the annual book festival, where Krusty is in attendance to sign copies of his new book (ghostwritten by John Updike), only for a young girl named Sophie to approach him and reveal herself to be the daughter he's never met. Completely unfamiliar with fatherhood, Krusty asks Homer for assistance with bonding with his daughter, but the relationship hits a snag when he bets Sophie's beloved violin in a high-stakes poker game with Fat Tony."
252,2000-11-19,252,/episode/252.webp,Lisa the Tree Hugger,12,"Lisa's crush on an environmentalist leads her to camp out on Springfield's tallest tree in protest over plans to have it felled, but when she takes a break to go home and sleep in her own house, she discovers the next day that the tree was destroyed by lightning and everyone thinks Lisa died."
253,2000-11-26,253,/episode/253.webp,Homer vs. Dignity,12,"With the family in dire straits once again, Homer decides to ask Mr. Burns for a raise, but Burns has a better plan: hire Homer as his personal jester (or ""prank monkey"") while Smithers takes time off to go to New Mexico to star in a musical he wrote about Malibu Stacy. But when the pranks escalate to being gross and humiliating, Homer must choose between making money for his family or retaining his dignity."
254,2000-12-03,254,/episode/254.webp,The Computer Wore Menace Shoes,12,"Homer gets into the Internet by becoming an online gossip columnist/conspiracy theorist, whose stories land him on a bizarre island for people who know too much (and is modeled after the one from the TV show The Prisoner)."
255,2000-12-10,255,/episode/255.webp,The Great Money Caper,12,"When the family car gets destroyed by a sturgeon that fell from space, Bart decides to make money by doing street performing, but when people see Homer abandon Bart in the street and give him money out of pity, Homer, Bart, and Grampa decide to become grifters."
